OA,Total_Population,Total_Households,Total_Dwellings,Total_Household_Spaces,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Pop_in_Housesholds_16_and_over,k004,k009,k010,k027,k031,k041,k046
E00052578,298,144,146,146,230,198,85,230,84,88,74,2,27,20,35
E00052579,249,118,123,123,202,174,73,202,61,82,71,4,47,10,23
E00052580,304,133,139,139,229,213,105,229,62,106,82,7,31,18,38
E00052581,320,142,145,145,264,256,114,264,85,86,112,8,66,26,28
E00052582,288,170,174,174,245,219,122,245,66,118,68,1,26,16,37
E00052583,222,115,131,131,182,170,83,182,53,85,46,8,48,16,20
E00052584,276,133,137,137,232,204,109,232,78,81,87,9,74,27,28
E00052585,298,127,131,131,232,218,95,232,74,104,70,6,51,12,43
E00052587,245,99,100,100,186,168,90,186,56,76,77,2,39,20,26
E00052588,264,125,134,134,204,192,126,204,60,82,92,12,67,27,40
E00052589,313,109,112,112,222,215,101,222,53,111,77,5,24,19,34
E00052590,299,113,119,119,217,194,102,217,59,83,95,11,60,24,27
E00052591,341,148,156,156,276,246,114,276,75,122,92,5,46,22,39
E00052592,304,127,128,128,240,224,139,240,80,89,94,8,74,35,52
E00052593,298,137,145,145,263,216,125,263,101,65,137,13,94,33,41
E00052594,434,189,189,189,342,305,140,342,98,130,131,0,63,27,49
E00052595,263,131,136,136,199,170,74,199,43,97,49,5,23,11,19
E00052596,257,105,110,110,185,167,81,185,42,78,70,6,19,9,29
E00052597,366,146,148,148,288,259,143,275,96,101,125,5,74,26,40
E00052598,445,145,148,148,329,329,253,329,105,109,183,108,125,88,71
E00052599,291,151,153,153,242,191,98,242,57,69,111,3,53,18,24
E00052600,362,136,139,139,265,233,113,265,53,89,120,3,72,31,36
E00052601,333,128,130,130,247,225,108,247,51,78,124,1,82,31,35
E00052602,360,131,135,135,281,255,146,281,95,98,135,24,80,39,44
E00052603,503,160,167,167,340,335,134,340,76,154,143,18,35,27,36
E00052604,505,185,194,194,339,330,199,339,73,149,122,31,83,39,63
E00052605,342,120,125,125,259,246,123,259,84,102,106,24,59,22,38
E00052606,332,126,131,131,242,220,87,242,57,102,92,6,32,15,27
E00052607,306,129,140,140,229,210,105,229,76,90,85,16,46,19,38
E00052608,402,141,156,156,286,268,140,286,90,125,104,11,39,18,45
E00052609,323,130,139,139,262,230,116,262,69,101,100,17,63,18,36
E00052611,280,126,141,141,222,204,109,222,67,75,89,12,54,17,28
E00052612,273,136,142,142,241,214,98,235,69,97,75,10,44,17,25
E00052613,424,191,210,210,342,307,130,342,105,138,132,19,70,19,35
E00052614,358,128,128,128,296,288,230,296,134,95,171,66,114,67,55
E00052615,396,165,165,165,326,278,180,326,97,107,154,6,91,40,49
E00052616,327,136,139,139,267,238,136,267,82,84,140,7,87,29,43
E00052617,339,127,130,130,267,244,126,267,82,91,111,3,69,30,46
E00052618,440,188,200,200,345,310,196,345,105,129,146,15,108,41,53
E00052619,373,144,147,147,295,280,137,295,79,137,103,9,63,43,44
E00052620,267,97,100,100,202,197,148,202,63,62,119,39,86,44,41
E00052621,360,142,143,143,304,295,219,304,116,102,164,65,123,56,49
E00052622,388,137,139,139,319,305,191,319,127,98,176,5,112,45,56
E00052623,305,131,135,135,258,237,136,258,75,73,143,8,79,25,42
E00052624,327,126,126,126,260,230,110,260,68,99,121,6,56,20,44
E00052625,317,120,125,125,254,233,133,254,68,81,123,13,93,35,27
E00052626,292,118,120,120,216,204,104,216,53,89,82,0,38,14,36
E00052627,325,129,131,131,251,233,134,251,76,111,81,4,73,26,42
E00052628,308,121,125,125,243,225,111,243,49,114,78,8,67,18,29
E00052629,359,124,132,132,287,262,153,287,92,104,146,21,89,34,46
E00052630,322,119,124,124,248,226,83,248,67,111,91,6,36,18,27
E00052631,407,148,150,150,339,299,174,339,115,112,169,67,113,55,54
E00052632,327,138,148,148,261,228,121,261,88,93,114,7,75,18,38
E00052633,343,126,130,130,291,252,173,291,98,81,171,88,110,57,48
E00052634,278,131,140,140,243,204,119,243,88,77,125,73,91,34,37
E00052635,390,122,124,124,274,261,91,274,69,138,93,14,34,13,33
E00052636,292,128,130,130,230,198,90,230,68,89,75,4,44,12,33
E00052637,275,105,105,105,212,198,95,212,62,104,65,3,40,20,33
E00052638,322,144,153,153,262,229,120,262,93,77,124,15,99,35,34
E00052639,357,126,129,129,275,262,123,275,72,104,131,37,76,31,36
E00052640,331,123,134,134,255,234,132,255,82,105,104,19,70,32,40
E00052641,309,112,126,131,264,215,116,209,74,106,93,19,42,25,43
E00052642,316,124,125,125,248,239,126,248,88,108,76,11,58,25,40
E00052643,246,128,130,130,195,182,81,195,61,96,47,8,23,8,31
E00052644,181,100,107,107,155,129,54,155,45,48,40,0,20,10,19
